quadkey	wkt
24133378	POLYGON ((99.84375 9.931640625, 99.84375 10.01953125, 99.931640625 10.01953125, 99.931640625 9.931640625, 99.84375 9.931640625))
24133443	POLYGON ((100.634765625 9.931640625, 100.634765625 10.01953125, 100.72265625 10.01953125, 100.72265625 9.931640625, 100.634765625 9.931640625))
24133192	POLYGON ((99.140625 10.01953125, 99.140625 10.107421875, 99.228515625 10.107421875, 99.228515625 10.01953125, 99.140625 10.01953125))
24133212	POLYGON ((99.66796875 10.01953125, 99.66796875 10.107421875, 99.755859375 10.107421875, 99.755859375 10.01953125, 99.66796875 10.01953125))
24133213	POLYGON ((99.755859375 10.01953125, 99.755859375 10.107421875, 99.84375 10.107421875, 99.84375 10.01953125, 99.755859375 10.01953125))
24133449	POLYGON ((100.634765625 10.01953125, 100.634765625 10.107421875, 100.72265625 10.107421875, 100.72265625 10.01953125, 100.634765625 10.01953125))
24133210	POLYGON ((99.4921875 10.107421875, 99.4921875 10.1953125, 99.580078125 10.1953125, 99.580078125 10.107421875, 99.4921875 10.107421875))
24133211	POLYGON ((99.580078125 10.107421875, 99.580078125 10.1953125, 99.66796875 10.1953125, 99.66796875 10.107421875, 99.580078125 10.107421875))
24133214	POLYGON ((99.66796875 10.107421875, 99.66796875 10.1953125, 99.755859375 10.1953125, 99.755859375 10.107421875, 99.66796875 10.107421875))
24133215	POLYGON ((99.755859375 10.107421875, 99.755859375 10.1953125, 99.84375 10.1953125, 99.84375 10.107421875, 99.755859375 10.107421875))
24133451	POLYGON ((100.634765625 10.107421875, 100.634765625 10.1953125, 100.72265625 10.1953125, 100.72265625 10.107421875, 100.634765625 10.107421875))
24133221	POLYGON ((99.404296875 10.1953125, 99.404296875 10.283203125, 99.4921875 10.283203125, 99.4921875 10.1953125, 99.404296875 10.1953125))
24133232	POLYGON ((99.4921875 10.1953125, 99.4921875 10.283203125, 99.580078125 10.283203125, 99.580078125 10.1953125, 99.4921875 10.1953125))
24133233	POLYGON ((99.580078125 10.1953125, 99.580078125 10.283203125, 99.66796875 10.283203125, 99.66796875 10.1953125, 99.580078125 10.1953125))
24133473	POLYGON ((100.634765625 10.1953125, 100.634765625 10.283203125, 100.72265625 10.283203125, 100.72265625 10.1953125, 100.634765625 10.1953125))
24133219	POLYGON ((99.228515625 10.283203125, 99.228515625 10.37109375, 99.31640625 10.37109375, 99.31640625 10.283203125, 99.228515625 10.283203125))
24133222	POLYGON ((99.31640625 10.283203125, 99.31640625 10.37109375, 99.404296875 10.37109375, 99.404296875 10.283203125, 99.31640625 10.283203125))
24133223	POLYGON ((99.404296875 10.283203125, 99.404296875 10.37109375, 99.4921875 10.37109375, 99.4921875 10.283203125, 99.404296875 10.283203125))
24133234	POLYGON ((99.4921875 10.283203125, 99.4921875 10.37109375, 99.580078125 10.37109375, 99.580078125 10.283203125, 99.4921875 10.283203125))
24133475	POLYGON ((100.634765625 10.283203125, 100.634765625 10.37109375, 100.72265625 10.37109375, 100.72265625 10.283203125, 100.634765625 10.283203125))
24133225	POLYGON ((99.228515625 10.37109375, 99.228515625 10.458984375, 99.31640625 10.458984375, 99.31640625 10.37109375, 99.228515625 10.37109375))
24133228	POLYGON ((99.31640625 10.37109375, 99.31640625 10.458984375, 99.404296875 10.458984375, 99.404296875 10.37109375, 99.31640625 10.37109375))
24133481	POLYGON ((100.634765625 10.37109375, 100.634765625 10.458984375, 100.72265625 10.458984375, 100.72265625 10.37109375, 100.634765625 10.37109375))
24133483	POLYGON ((100.634765625 10.458984375, 100.634765625 10.546875, 100.72265625 10.546875, 100.72265625 10.458984375, 100.634765625 10.458984375))
24133569	POLYGON ((100.634765625 10.546875, 100.634765625 10.634765625, 100.72265625 10.634765625, 100.72265625 10.546875, 100.634765625 10.546875))
24133571	POLYGON ((100.634765625 10.634765625, 100.634765625 10.72265625, 100.72265625 10.72265625, 100.72265625 10.634765625, 100.634765625 10.634765625))
